friddjavuođareive	1. frihetsbrev;  
oastinšiehtadus	1. kjøpekontrakt;  
ovdaoastinšiehtadus	1. håndgivelsesavtale;  
váldošiehtadus	1. hovedavtale;  
láigošiehtadus	1. festekontrakt;  2. leiekontrakt;  
eananláigošiehtadus	1. festekontrakt;  
lihttoláigošiehtadus	1. forpaktningskontrakt;  
bargošiehtadus	1. arbeidsavtale;  
boazodoallošiehtadus	1. reindriftsavtale;  
gávpevuođđošiehtadus	1. selskapskontrakt;  
náittosšiehtadus	1. ektepakt;  
dáhkádusšiehtadus	1. forsikringspolise;  
soabahusšiehtadus	1. forhandling om forlik;  
bálkášiehtadus	1. lønnsavtale;  
láigodálolaššiehtadus	1. husmannskontrakt;  
buhtadus	1. erstatning;  
mátkebuhtadus	1. reisegodtgjøring;  
bassebeaibuhtadus	1. helgedagsgodtgjørelse;  
gollobuhtadus	1. utgiftskompensasjon;  
ánsobuhtadus	1. billighetserstatning;  
vahátbuhtadus	1. skadeerstatning;  
bálkábuhtadus	1. kompensasjon for tapt arbeidsinntekt;  
ovddasvástadus	1. ansvar;  
diŋgonbuvttadus	1. ordreproduksjon;  
gurgadasbuvttadus	1. serieproduksjon;  
oaivadus	1. rettesnor;  
govvadus	1. framstilling;  
luvvadus	1. emulsjon;  
áiddus	1. skranke;  
ravdaáiddus	1. brystning;  
monofiilagielddus	1. monofilforbud, forbud mot monofil;  
boazoguođohangielddus	1. reinbeiteforbud;  
borgguhangielddus	1. røykeforbud;  
beassangielddus	1. adgangsforbud;  
eananháldengielddus	1. arealdisponeringsforbud;  
mielddus	1. følgeskriv, vedlegg;  
girjemielddus	1. bilag;  
navddus	1. hypotese;  
sorjavašvuođanavddus	1. avhengighetshypotese;  
plánačoavddus	1. planløsning;  
riektečoavddus	1. rettsløsning;  
bivddus	1. fangstredskap;  
vihtanbivddus	1. bunden redskap;  
njuvddus	1. puré;  
vuostanjuvddus	1. prim;  
meađđennjuvddus	1. kaviar;  
servodatdovddiidus	1. samfunnserfaring;  
jurddagovvidus	1. fantasi;  
vuosttaldus	1. resistans;  
dovddaipmárdus	1. sanseinntrykk;  
gaskaipmárdus	1. avstandsoppfattelse;  
johtolatipmárdus	1. trafikkforståelse;  
málbmariggudus	1. slig;  
suohkudus	1. jevning;  
fápmudus	1. mandat;  
sáttagoddefápmudus	1. delegasjonsfullmakt;  
virgefápmudus	1. stillingsfullmakt;  
jienastanfápmudus	1. voteringsfullmakt;  
muddenfápmudus	1. reguleringsfullmakt;  
gievrudus	1. forsterkning;  
kommandihttavuođđudus	1. kommandittforetak;  
gávpevuođđudus	1. selskap;  
hálbbádus	1. rabatt;  
reaidahálbbádus	1. kontantrabatt;  
hivvodathálbbádus	1. kvantumsrabatt;  
refušuvdnagáibádus	1. refusjonskrav;  
luohtehahttivuođagáibádus	1. pålitelighetskrav, krav til pålitelighet;  
jotkkolašvuođagáibádus	1. kontinuitetskrav, krav til kontinuitet;  
mávssolašvuođagáibádus	1. vesentlighetskrav, krav til vesentlighet;  
ovttahápmásašvuođagáibádus	1. kongruenskrav, krav til kongruens;  
maŋŋilgáibádus	1. etterkrav;  
bajimusmearridangáibádus	1. suverenitetskrav;  
merkengáibádus	1. merkekrav;  
čuoččuhusgáibádus	1. pretensjonskrav;  
eaiggátgáibádus	1. eierpretensjon;  
bajádus	1. løft;  
eamitbajádus	1. ektefellepensjon;  
vuoigatvuođačádjádus	1. rettsvillfarelse;  
čoahkádus	1. sammensetning;  
buvttačoahkádus	1. produktsammensetning;  
dagaldatčoahkádus	1. faktorsammensetning;  
ahkeluohkkáčoahkádus	1. aldersklassesammensetning;  
dáhkádus	1. forsikring;  2. garanti;  3. sikkerhetsstillelse;  
biiladáhkádus	1. bilforsikring;  
riektesihkkarvuođadáhkádus	1. rettssikkerhetsgaranti;  
eallindáhkádus	1. livsforsikring;  
bargiideallindáhkádus	1. gruppelivsforsikring;  
káskodáhkádus	1. kaskoforsikring;  
fievrodáhkádus	1. vognskadeforsikring;  
ollesárvodáhkádus	1. fullverdiforsikring;  
johtolatdáhkádus	1. trafikkforsikring;  
bilkádus	1. bespottelse;  
seaŋgaaládus	1. sengeforhøyningskloss;  
gávppašeaddjivuoládus	1. forhandlerrabatt;  
mearalvuoládus	1. sjømannsfradrag;  
vánhenvuoládus	1. foreldrefradrag;  
loatnaoanádus	1. avdrag;  
vearrogeahpádus	1. skattelette;  
goarádus	1. vanskjebne;  
stuorádus	1. tilbygg;  
váiddamearrádus	1. klagebestemmelse;  
luoddamearrádus	1. vegbestemmelse;  
láhkamearrádus	1. lovvedtak;  
prinsihppamearrádus	1. prinsippavgjørelse;  
álbmotriektemearrádus	1. folkerettsbestemmelse;  
ulbmilmearrádus	1. vedtak;  
suoládanmearrádus	1. tyveribestemmelse;  
čađahanmearrádus	1. gjennomføringsvedtak;  
vearuhanmearrádus	1. skatteleggingsforordning;  
orustanmearrádus	1. parkeringsbestemmelse;  
ráŋggáštanmearrádus	1. straffebestemmelse;  
váldesirdinmearrádus	1. delegasjonsbestemmelse;  
dievasčoahkkinmearrádus	1. plenumsbeslutning;  
ovttastahttinmearrádus	1. inkorporasjonsbestemmelse;  
ráfáiduhttinmearrádus	1. fredningsbestemmelse;  
čálánmearrádus	1. printerinnstilling;  
eanetlohkomearrádus	1. flertallsvedtak;  
vearromearrádus	1. skatteforordning;  
fápmudusmearrádus	1. fullmaktsbestemmelse;  
hálddahusmearrádus	1. forvaltningsvedtak;  
láhkaásahusmearrádus	1. forskriftsbestemmelse;  
allodatmearrádus	1. høydebestemmelse;  
fievrrádus	1. frakt;  
mihtádus	1. utmåling;  
ovddasvástádus	1. ansvar;  
mielovddasvástádus	1. medansvar;  
váhnenovddasvástádus	1. foreldreansvar;  
buhtadusovddasvástádus	1. erstatningsansvar;  
ráŋggáštusovddasvástádus	1. straffansvar;  
iešgoasttádus	1. selvkost;  
oaivádus	1. veiledning;  
váivvádus	1. bryderi;  
govvádus	1. beskrivelse;  
vearromaŋádus	1. skattekreditt;  
hárjehallandagus	1. treningsopplegg;  
oahpahusdagus	1. undervisningsopplegg;  
spábbastoagus	1. ballek;  
birračuoiggus	1. skitur rundt hjorden;  
golggus	1. væske;  
aspárggus	1. asparges;  
sárggus	1. tegning;  
máŋggus	1. kopi;  
breavamáŋggus	1. brevkopi;  
sihkkarastinmáŋggus	1. sikkerhetskopi;  
buollinjuogus	1. brannseksjon;  
juolgesugus	1. fotgynge;  
soabahus	1. forlik;  
boazodoallohálddahus	1. reindriftsadministrasjonen;  
oastiválddahus	1. kundeorientering;  
gilvalanválddahus	1. konkurranseorientering;  
golloválddahus	1. kostnadsorientering;  
spaiggahus	1. beinsplint;  
spábbavuolggahus	1. dødballsituasjon;  
čoavddavuolggahus	1. selvstarter;  
barggahus	1. sysselsetting;  
fitnooaphahus	1. yrkesopplæring;  
olahus	1. rekord;  2. prestasjon;  
iešgolahus	1. selvkost;  
militearafuolahus	1. militærstell;  
dearvvašvuođafuolahus	1. helsetjeneste;  
fitnodatdearvvašvuođafuolahus	1. bedriftshelsetjeneste;  
erenoamášoahpahus	1. spesialundervisning;  
birračuohpahus	1. omskjærelse;  
giessahus	1. lite notvarp;  
láhkaásahus	1. forskrift;  
meahcceluoddaláhkaásahus	1. skogvegforskrift;  
olmmošlohkoláhkaásahus	1. manntallsforskrift;  
veahkkeásahus	1. hjelpeinterventient;  
riekteásahus	1. rettsinstitutt;  
ruhtadanásahus	1. finansieringsinstitusjon, finansieringsselskap;  
evttohanásahus	1. forslagsinstans;  
guoddalanásahus	1. ankeinstans;  
váidalanásahus	1. klageinstans;  
stivrenásahus	1. styringsorgan;  
vearroráhtoásahus	1. skattevrakinstitutt;  
vuolitásahus	1. underinstans;  
geavahus	1. bruk;  2. konsum;  
riektegeavahus	1. rettsanvendelse;  
boasttogeavahus	1. misbruk;  
bázahus	1. rest;  
metállabázahus	1. slagg;  
giddehus	1. heftelse;  
doaibmačilgehus	1. virksomhetsmelding;  
šearbmačilgehus	1. skjermforklaring;  
geavahančilgehus	1. bruksanvisning;  
ámmátolbmočilgehus	1. embetsmannsbeskrivelse;  
áigeráddjehus	1. tidsavgrensing;  
valáštallanhárjehus	1. idrettsøvelse;  
čohkkehus	1. samling;  
várrehus	1. advarsel, varsel;  
huksehus	1. bygg;  2. konstruksjon;  
heivehus	1. bearbeidelse;  2. tilpasning;  
čavgaheivehus	1. drivpasning;  
musihkkaheivehus	1. musikkarrangement;  
gaskaheivehus	1. mellompasning;  
deaddeheivehus	1. presspasning;  
hoiganheivehus	1. skyvepasning;  
sajádatheivehus	1. arrangement;  
suivehus	1. skravering;  
unnitlohkoráđđehus	1. mindretallsregjering;  
lihttoráđđehus	1. koalisjonsregjering;  
vásihus	1. erfaring;  
dovddavásihus	1. sanseopplevelse;  
lihkadanvásihus	1. bevegelseserfaring;  
bargovásihus	1. arbeidserfaring;  
raŋihus	1. rykk;  
johtolatsegohus	1. trafikksammensetning;  
roahkkohus	1. inngrep;  
ahkeerohus	1. aldersforskjell;  
dásseerohus	1. nivåforskjell;  
oaivilerohus	1. meningsforskjell;  
sodjoerohus	1. nyanseforskjell;  
allodaterohus	1. høydeforskjell;  
várohus	1. mistanke;  
láhkaevttohus	1. lovforslag;  
fáhkkaevttohus	1. benkeforslag;  
resolušuvdnaevttohus	1. resolusjonsforslag;  
loahppaevttohus	1. realitetsforslag;  
molssaevttohus	1. subsidiært forslag;  
bušeahttaevttohus	1. budsjettforslag, budsjettproposisjon;  
lávdegoddeevttohus	1. komitéinnstilling;  
vuosteevttohus	1. motforslag;  
rievdadanevttohus	1. endringsforslag;  
maŋidanevttohus	1. utsettelsesforslag;  
soabahanevttohus	1. meklingsforslag;  
váldoevttohus	1. prinsipalt forslag;  
álgoevttohus	1. utkast;  
láhkaálgoevttohus	1. lovutkast;  
bušeahttaálgoevttohus	1. budsjettutkast;  
eanetlohkoevttohus	1. flertallsinnstilling;  
unnitlohkoevttohus	1. mindretallinnstilling;  
áššelistoevttohus	1. forslag til dagsorden;  
šiehtadusevttohus	1. avtaleutkast;  
mearrádusevttohus	1. vedtaksforslag, forslag til vedtak;  
soabatevttohus	1. kompromissforslag;  
eahpeluohttámuševttohus	1. mistillitsforslag;  
metállaseaguhus	1. legering;  
sáttoseaguhus	1. isoleringsmastriks;  
fiilačujuhus	1. fillenke;  
eanačujuhus	1. jordutvisning;  
máksinčujuhus	1. anvisning;  
siidočujuhus	1. sidehenvisning;  
bálggisčujuhus	1. stibetegnelse;  
jurddaváikkuhus	1. inntrykk;  
dovddaváikkuhus	1. sansestimuli;  
huššaváikkuhus	1. stressreaksjon;  
lassiváikkuhus	1. ringvirkning;  
lávttasváikkuhus	1. fuktbelastning;  
almmuhus	1. annonse;  2. deklarasjon;  
virgealmmuhus	1. stillingsannonse;  
boahtinalmmuhus	1. ankomstmelding;  
buktinalmmuhus	1. importmelding;  
livnnetalmmuhus	1. ligningsoppgjør;  
lonuhus	1. substitutt;  
vearuhus	1. beskatning;  
eanavearuhus	1. jordbeskatning;  
personvearuhus	1. personbeskatning;  
čuoččuhus	1. pretensjon;  
heahtegádjunčuoččuhus	1. nødvergeanførsel;  
tertiearaealáhus	1. tertiærnæring;  
mearradoalloealáhus	1. havbruksnæring;  
vuođđoealáhus	1. basisnæring, primærnæring;  
buohtalasealáhus	1. kombinasjonsnæring;  
lotnolasealáhus	1. næringskombinasjon;  
bálvalusealáhus	1. tjenesteytende næring;  
čáláhus	1. utskrift;  
beavdegirječáláhus	1. protokollutskrift;  
lasáhus	1. tillegg;  
riskalasáhus	1. risikotillegg;  
sierralasáhus	1. særtillegg;  
ansiennitehtalasáhus	1. ansiennitetstillegg;  
durdelasáhus	1. smusstillegg;  
beavdegirjelasáhus	1. protokolltilførsel;  
deaddolasáhus	1. trykkøkning;  
sagahanárvolasáhus	1. avlsverditillegg;  
beallalašlasáhus	1. ektefelletillegg;  
vásáhus	1. opplevelse;  
áššemeannudanmeattáhus	1. saksbehandlingsfeil;  
fidnomáhttáhus	1. yrkesutdanning;  
preassadieđáhus	1. pressemelding;  
stuorradiggedieđáhus	1. stortingsmelding;  
buohcandieđáhus	1. sykemelding;  
vearrodieđáhus	1. selvangivelse;  
boahtodieđáhus	1. inntektsoppgave;  
hálddahusdieđáhus	1. forvaltningsmelding;  
lasseárvodivatdieđáhus	1. omsetningsoppgave;  
ámmátalbmádieđáhus	1. embetsmannsinnberetning;  
iešdieđáhus	1. egenmelding;  
radius	1. radius;  
dajus	1. utsagn;  
muorravajus	1. tresnitt;  
bijus	1. innsats;  
buonjus	1. dip;  
suojus	1. dataskjerm;  
dihtorsiskkáldasrájus	1. intern harddisk;  
rihkus	1. forseelse;  
gaskkus	1. skims;  
iskkus	1. prøve;  
varraiskkus	1. blodprøve;  
cissaiskkus	1. urinprøve;  
čáhceiskkus	1. vannprøve;  
jurddagurgalus	1. brainstorming;  
šlápmasuodjalus	1. støyvern;  
bargiidsuodjalus	1. arbeidervern;  
mánáidsuodjalus	1. barnevern;  
riektesuodjalus	1. rettsbeskyttelse;  
bággolotnunriektesuodjalus	1. ekspropriasjonsrettslig vern;  
eretcealkinsuodjalus	1. oppsigelsesvern;  
buollinsuodjalus	1. brannvern;  
personsuodjalus	1. personvern;  
bargosuodjalus	1. arbeidsvern;  
iešsuodjalus	1. selvforsvar;  
birrabotnjalus	1. omvendelse;  
čoalus	1. tarm;  
olggošmuitalus	1. rammefortelling;  
hástalus	1. utfordring;  
lihkadanhástalus	1. bevegelsesutfordring;  
biehttalus	1. absolutt veto;  2. nektelse, fornektelse;  
dálveluoddabálvalus	1. vintervegsservice;  
kántuvrabálvalus	1. kontortjeneste;  
spesialistadearvvašvuođabálvalus	1. spesialisthelsetjeneste;  
fidnodearvvašvuođabálvalus	1. bedriftshelsetjenesten;  
vuosttasgeardebálvalus	1. førstegangstjeneste;  
bagadanbálvalus	1. rettledningstjenesten;  
várresuodjalanbálvalus	1. fjellsikringstjeneste;  
čuovvolanbálvalus	1. oppfølgingstjenesten;  
huksenbálvalus	1. bygningstjeneste;  
čállinbálvalus	1. skrivetjeneste;  
divvunbálvalus	1. vedlikeholdtjeneste;  
bátnedikšunbálvalus	1. tannpleietjeneste;  
doavtterbálvalus	1. legetjeneste;  
luoddaárvalus	1. vegforslag;  
biebmogoallus	1. næringskjede;  
vuolus	1. underkant;  
giehtačálus	1. manus;  
digaštallančálus	1. diskusjonsnotat;  
álgočálus	1. konsept;  
duopmočálus	1. domsutskrift;  
diehtočálus	1. informasjonsskriv;  
johtočálus	1. rundskriv;  
njuolggadusčálus	1. regelverk;  
nubbehusčálus	1. avskrift;  
boaimmus	1. fuglemat;  
čorbmaváimmus	1. indre håndflate;  
biepmus	1. næringsstoff;  
ráhkkanus	1. konstruksjon;  
heahtebissehanráhkkanus	1. nødstoppanordning;  
giddenráhkkanus	1. festeanordning;  
loktenráhkkanus	1. løfteinnretning;  
olbmoloktenráhkkanus	1. personløfter;  
guoddinráhkkanus	1. bærekonstruksjon;  
lášmmodahttinráhkkanus	1. bevegelighetstreningsapparatur;  
áhpasmahttinráhkkanus	1. styrketreningsapparatur;  
gaikunráhkkanus	1. nedtrekksapparatur;  
čanus	1. binding;  2. sammenheng;  
hypotenus	1. hypotenus;  
easttageainnus	1. hinderbane;  
vuojadangeainnus	1. svømmebane;  
viehkangeainnus	1. løpebane;  
máinnus	1. reklame;  
bonus	1. bonus;  
deahkketonus	1. muskeltonus;  
biergofeartnus	1. kjøttfarse;  
mearus	1. porsjon;  
áirrus	1. åreemne;  
gahpárus	1. tolvfingertarm;  
geasus	1. fradrag;  
doarjjageasus	1. bidragstrekk;  
tabeallageasus	1. tabelltrekk;  
vearrogeasus	1. skattetrekk;  
reantogeasus	1. rentefradrag;  
bálkágeasus	1. lønnsfradrag;  
oasus	1. aksje;  
ovddastus	1. representasjon;  
vuosteoamastus	1. mothevd;  
odeloamastus	1. odelshevd;  
gávildanoamastus	1. snikhevd;  
eaiggáduššanoamastus	1. eiendomshevd;  
ovttastus	1. forbindelse;  
gávpeovttastus	1. kjede;  
máŋggalođatovttastus	1. flerkileforbindelse;  
boaittobealođastus	1. landboreform;  
sámevearroođastus	1. lappskattereform;  
dárkkistus	1. ettersyn, inspeksjon, kontroll;  
historjávearistus	1. historieforfalskning;  
goallostus	1. tilslutning;  
vuođustus	1. fundament;  
biehttalanvuođustus	1. avslagsbegrunnelse;  
dárkkástus	1. kontroll, undersøkelse;  
riikadárkkástus	1. riksrevisjon;  
diŋgondárkkástus	1. bestillingskontroll;  
biebmodárkkástus	1. næringsmiddelkontrollen;  
rádjonuppástus	1. beholdningsendring;  
opmodatnuppástus	1. formuesendring;  
attus	1. ytelse;  
luondduattus	1. naturalytelse;  
šattus	1. frukt;  
geađgešattus	1. steinfrukt;  
bađvešattus	1. belgfrukt;  
siepmanšattus	1. kjernefrukt;  
passionšattus	1. pasjonsfrukt;  
sharonšattus	1. sharonfrukt;  
sitrusšattus	1. sitrusfrukt;  
giesttus	1. spole;  
cahkkehangiesttus	1. coil;  
govččabuvttus	1. dekningsbidrag;  
máilmmijulggaštus	1. verdenserklæring;  
ohcanjulggaštus	1. leteerklæring;  
oahppaduođaštus	1. vitnemål;  
ámtaduođaštus	1. amtseddel;  
válmmašvuođaduođaštus	1. ferdigattest;  
dieđihanduođaštus	1. påmeldingsbekreftelse;  
eananoamastanduođaštus	1. skjøte;  
ráđđehuseananoamastanduođaštus	1. regjeringsskjøte;  
diŋgonduođaštus	1. ordrebekreftelse;  
bargoduođaštus	1. arbeidsattest;  
doaktárduođaštus	1. legeattest;  
beloštus	1. forsvar;  
vuloštus	1. fundament;  
meroštus	1. anslag;  2. definisjon;  
liigeárvvoštus	1. overvurdering;  
vuođuštus	1. begrunnelse;  
blankeahttaráŋggáštus	1. blankettstraffebud;  
čujuhangovus	1. orienteringsfigur;  
laktingovus	1. koplingsskjema;  
mássaluovus	1. løsmasse;  
čuovus	1. følgeskriv;  2. følge;  
doarjjačuorvvus	1. positive tilrop;  
jurddaboađus	1. konklusjon, slutning;  
válgaboađus	1. valgresultat;  
doaibmaboađus	1. driftsresultat;  
oasseboađus	1. delresultat;  
šiehtadallanboađus	1. forhandlingsresultat;  
jienastanboađus	1. voteringsresultat;  
báistebiđus	1. finnbiff;  
deahkkegođus	1. muskelvev;  
dáktegođus	1. benvev;  
čatnangođus	1. bindevev;  
vuođđudanvuođus	1. stiftelsesgrunnlag;  
fuođđarvuođus	1. forgrunnlag;  
vážus	1. rå på fiskehjell;  
rohpeduolbbás	1. takflate;  
bággosoabat	1. tvungen voldgift;  
guorbbat	1. sandskrubb;  
fievrredannávccat	1. transportkapasitet;  
hutkannávccat	1. kreative evner;  
šiehtadallannávccat	1. forhandlingsevne;  
gáffadat	1. kafeteria;  
čáhcelieggadat	1. varmtvannsbereder;  
vielgadat	1. hvithet;  
sáibmagolgadat	1. drivgarn for småfisk;  
časkindávgadat	1. slagseighet;  
lanjadat	1. leilighet;  
golmmalanjadat	1. treromsleilighet;  
duksalanjadat	1. innskuddsleilighet;  
ovttalanjadat	1. ettromsleilighet;  
njealjelanjadat	1. fireromsleilighet;  
guovttelanjadat	1. toromsleilighet;  
iešeaiggátlanjadat	1. selveierleilighet;  
borjadat	1. medvind;  
gaskkadat	1. intervall;  
áigegaskkadat	1. tidsintervall;  
arvešoaladat	1. plaskregn;  
guolladat	1. trestykke som garnmaskene bindes over;  
šiehtadallanfáladat	1. forhandlingstilbud;  
eanadat	1. terreng;  
čáhppadat	1. svarthet;  
čivttadat	1. sted på fiskegarn/not hvor det er bøtt;  
ovttadat	1. enhet;  
ruhtaovttadat	1. pengeenhet;  
boahtalčottaovttadat	1. flaskehalsenhet;  
riekteovttadat	1. rettsenhet;  
dihtorbiebmanovttadat	1. innlesingsenhet;  
ássanovttadat	1. boenhet;  
hálddašanovttadat	1. forvaltningsenhet;  
bivdoovttadat	1. fangstenhet;  
mihttoovttadat	1. måleenhet;  
liggenávnnasovttadat	1. varmeproduserende enhet;  
geavahusovttadat	1. bruksenhet;  
johtolatovttadat	1. trafikkenhet;  
ávttadat	1. slakteplass;  
govadat	1. riss;  
eanagirjelávadat	1. skjøteformular;  
gáfedat	1. kafeteria;  
čohkkedat	1. sete;  
bealledat	1. partner;  
buvvedat	1. sandlo;  
lávedat	1. bringebærbusk;  
peannabagaldat	1. pennekork;  
buvttadandagaldat	1. produksjonsfaktor;  
reantodagaldat	1. rentefaktor;  
beaivvášdagaldat	1. solfaktor;  
loahppadajaldat	1. sluttreplikk;  
álggahandajaldat	1. åpningsfrase;  
vuorrodajaldat	1. replikk;  
dárjjaldat	1. gryteklut;  
gohpposihkaldat	1. kopphåndkle;  
cokkaldat	1. innleggsåle;  
notkkaldat	1. fyllmiddel;  
gealaldat	1. pusseskinn;  
mediafálaldat	1. mediatilbud;  
mearreáiggefálaldat	1. sesongtilbud;  
orustanfálaldat	1. parkeringstilbud;  
ávnnaldat	1. angel;  
giesaldat	1. vikling;  
bađaldat	1. del av dyreskinn;  
gaskagažaldat	1. interpellasjon;  
kabineahttagažaldat	1. kabinettspørsmål;  
riidogažaldat	1. kontroversielt spørsmål;  
váldogažaldat	1. hovedspørsmål;  
nággogažaldat	1. tvistespørsmål;  
birrajođaldat	1. sirkulasjon;  
áŋaldat	1. finne;  
erreldat	1. isolator;  
vázzinrásttildat	1. fotgjengerfelt;  
jorggáldat	1. vendepunkt;  
duojáldat	1. utkast;  
kártačoakkáldat	1. kartverk;  
šaddodat	1. vegetasjon;  
giddodat	1. fast inventar;  
viidodat	1. areal;  
obbaviidodat	1. bruttoareal;  
doaibmaviidodat	1. aksjonsradius, virkeområde;  
geavahanviidodat	1. bruksareal;  
bargoviidodat	1. arbeidsområde;  
oaidnoviidodat	1. synsfelt;  
ealáhusviidodat	1. næringsomfang;  
govdodat	1. bredde;  
ceggodat	1. stigningsgrad;  
riggodat	1. rikdom;  
mearariggodat	1. sjøressurs;  
nálleriggodat	1. artsrikdom;  
sátneriggodat	1. ordforråd;  
searveriggodat	1. fellesressurs;  
fuođđoriggodat	1. viltressurs;  
luondduriggodat	1. naturressurs;  
áhpedorskeáigodat	1. skreisesong;  
heivehanáigodat	1. tilpasningsperiode;  
orustanáigodat	1. parkeringstid;  
lihttoláigoáigodat	1. forpaktningsperiode;  
čuvgodat	1. lyshet;  
galljodat	1. maskevidde;  
čoavddagalljodat	1. nøkkelvidde;  
seavdnjodat	1. dypet;  
valljijahkodat	1. toppsesong;  
guollebivdojahkodat	1. fiskesesong;  
cohkodat	1. søst;  
fluksasuhkodat	1. flukstetthet;  
guhkkodat	1. utstrekning;  
bisánanguhkkodat	1. stoppelengde;  
časkinguhkkodat	1. slaglengde;  
bárroguhkkodat	1. bølgelengde;  
geardeallodat	1. etasjehøyde;  
hárjeallodat	1. mønehøyde;  
nurkeallodat	1. gesimshøyde;  
bátneallodat	1. tannhøyde;  
opmodat	1. eiendom;  
eanaopmodat	1. grunneiendom;  
báhpaeanaopmodat	1. prestebolsgods;  
buohkaidopmodat	1. allemannseie;  
astoáiggeopmodat	1. fritidseiendom;  
searveopmodat	1. sameie;  
oasusopmodat	1. aksjekapital;  
iešeaiggátopmodat	1. selveiergods;  
oktasašopmodat	1. felleseie;  
nannodat	1. fasthet;  
fatnannannodat	1. strekkfasthet;  
buvttadanfitnodat	1. produksjonsbedrift;  
gálvogávppašanfitnodat	1. varehandelsbedrift;  
ovttaolbmofitnodat	1. eneierforetak;  
ámmátčehppodat	1. profesjon;  
oahpaheaiámmátčehppodat	1. lærerprofesjonalitet;  
smirrodat	1. sprøhet;  
sturrodat	1. format;  2. volum;  
standárdasturrodat	1. standardformat;  
gordnesturrodat	1. kornstørrelse;  
lohkosturrodat	1. tallstørrelse;  
ealáhussturrodat	1. næringsvolum;  
givrodat	1. styrke;  
ivdnegivrodat	1. fargestyrke;  
leasmedávdaossodat	1. revmatologisk avdeling;  
borasdávdaossodat	1. kreftavdeling;  
sisdávdaossodat	1. indremedisinsk avdeling;  
anestesiijaossodat	1. anestesiavdeling;  
infekšuvdnaossodat	1. infeksjonsavdeling;  
bargiidossodat	1. personalavdeling;  
elliidossodat	1. dyreavdeling;  
mánáidossodat	1. barneavdeling;  
vuovdeossodat	1. forstetat;  
duodjeossodat	1. duodjiavdeling;  
čalbmeossodat	1. øyeavdeling;  
beaiveossodat	1. dagavdeling;  
sosiálossodat	1. sosialetaten;  
bajásšaddanossodat	1. oppvekstavdeling;  
morihanossodat	1. oppvåkningsavdeling;  
čorgenossodat	1. renholdsavdeling;  
røntgenossodat	1. røntgenavdeling;  
prospekterenossodat	1. prospekteringsavdeling;  
huksenossodat	1. bygningsavdeling;  
dánsenossodat	1. danseseksjon;  
váráiduhttinossodat	1. forsyningsavdeling;  
ruhtadoalloossodat	1. økonomiavdeling;  
dálloruhtadoalloossodat	1. husøkonomavdeling;  
viessodoalloossodat	1. hustellavdeling;  
geaidnoossodat	1. veisektor;  
dihtorossodat	1. EDB-avdeling;  
fuolahusossodat	1. serviceavdeling;  
oahpahusossodat	1. opplæringsavdeling;  
geriatriijalašossodat	1. geriatrisk avdeling;  
birgendássodat	1. levestandard;  
ásodat	1. bolig;  
virgeásodat	1. tjenestebolig;  
eallinagiásodat	1. livsløpsbolig;  
golmmabearašásodat	1. tremannsbolig;  
guovttebearašásodat	1. tomannsbolig;  
mahtodat	1. størrelse;  
servodat	1. samfunn;  
skuvlaservodat	1. skolesamfunn;  
álbmotriekteservodat	1. folkerettssamfunn;  
valljiservodat	1. overflodssamfunn;  
golahanservodat	1. forbrukersamfunn;  
šaddoservodat	1. plantesamfunn;  
bargoservodat	1. arbeidersamfunn;  
seahtoservodat	1. klassesamfunn;  
kánttorservodat	1. kontorlandskap;  
oaivámušservodat	1. høvdingsamfunn;  
mediahivvodat	1. massemedia;  
biilahivvodat	1. bilpark;  
buvttadanhivvodat	1. produksjonsmengde;  
orustanhivvodat	1. parkeringsmengde;  
áibmohivvodat	1. luftmengde;  
gálvohivvodat	1. varebeholdning;  
luvvodat	1. inventar;  
čikŋodat	1. dybde;  
bátnečikŋodat	1. inntrinn;  
čuohppančikŋodat	1. kuttdybde;  
minsttarčikŋodat	1. mønsterdybde;  
romšodat	1. ruheit;  
olggošromšodat	1. overflateruhet;  
gievrudat	1. forsterker;  
boalddádat	1. solstek;  
vuogádat	1. framgangsmåte;  2. system;  
vuosteággavuogádat	1. innsigelsessystem;  
luovosárkavuogádat	1. løsbladsystem;  
taktilavuogádat	1. det taktile systemet;  
vestibuláravuogádat	1. det vestibulære systemet;  
koordináhtavuogádat	1. koordinatsystem;  
ivdnevuogádat	1. fargesystem;  
gávpevuogádat	1. merkantilistisk system;  
riektevuogádat	1. rettssystem;  
álbmotriektevuogádat	1. folkerettssystem;  
guokteoahpaheaddjivuogádat	1. tolærersystem;  
desimálvuogádat	1. desimalsystem;  
čuovuhanvuogádat	1. ledesystem;  
hárjehallanvuogádat	1. treningssystem;  
oamastanvuogádat	1. hevdsystem;  
muddenvuogádat	1. reguleringssystem;  
registrerenvuogádat	1. registreringssystem;  
klassifiserenvuogádat	1. klassifiseringssystem;  
vealggásváldinvuogádat	1. kredittsystem;  
ekovuogádat	1. økosystem;  
vearrovuogádat	1. skattesystem;  
sajádat	1. beliggenhet;  
speažžunsajádat	1. applausarrangement;  
fápmosajádat	1. maktposisjon;  
dálkkádat	1. klima;  
galbmádat	1. frossenmelk;  
johtolatfierbmádat	1. samferdselsnett;  
fierpmádat	1. nettverk;  
vázzinluoddafierpmádat	1. gangvegnett;  
váldoluoddafierpmádat	1. hovedvegnett;  
čuovgafierpmádat	1. lysnett;  
juogadanfierpmádat	1. distribusjonsnett;  
